Order_ID,Order_Date,Order_Priority,Ord_id
3,13-10-2010,LOW,Ord_1
293,1/10/2012,HIGH,Ord_2
483,10/7/2011,HIGH,Ord_3
515,28-08-2010,NOT SPECIFIED,Ord_4
613,17-06-2011,HIGH,Ord_5
643,24-03-2011,HIGH,Ord_6
678,26-02-2010,LOW,Ord_7
807,23-11-2010,MEDIUM,Ord_8
868,8/6/2012,NOT SPECIFIED,Ord_9
933,4/8/2012,NOT SPECIFIED,Ord_10
995,30-05-2011,MEDIUM,Ord_11
998,25-11-2009,NOT SPECIFIED,Ord_12
1154,14-02-2012,CRITICAL,Ord_13
1344,15-04-2012,LOW,Ord_14
1412,12/3/2010,NOT SPECIFIED,Ord_15
1539,9/3/2011,LOW,Ord_16
1540,4/8/2012,HIGH,Ord_17
1702,6/5/2011,HIGH,Ord_18
1761,23-12-2010,HIGH,Ord_19
1792,8/11/2010,LOW,Ord_20
2275,21-10-2012,NOT SPECIFIED,Ord_21
2277,1/1/2011,NOT SPECIFIED,Ord_22
2532,10/10/2011,HIGH,Ord_23
2631,23-09-2010,LOW,Ord_24
2757,19-07-2011,CRITICAL,Ord_25
2791,9/10/2009,HIGH,Ord_26
2976,9/12/2010,NOT SPECIFIED,Ord_27
3232,8/10/2012,CRITICAL,Ord_28
3524,2/5/2012,HIGH,Ord_29
3908,8/3/2010,MEDIUM,Ord_30
4132,28-05-2011,NOT SPECIFIED,Ord_31
4612,19-09-2010,MEDIUM,Ord_32
4676,31-08-2011,HIGH,Ord_33
5284,8/7/2011,NOT SPECIFIED,Ord_34
5316,30-01-2009,CRITICAL,Ord_35
5409,8/1/2012,LOW,Ord_36
5506,7/11/2010,CRITICAL,Ord_37
5569,29-04-2010,NOT SPECIFIED,Ord_38
5607,31-12-2011,NOT SPECIFIED,Ord_39
5894,12/8/2009,HIGH,Ord_40
5925,12/11/2011,LOW,Ord_41
6016,20-01-2012,HIGH,Ord_42
6116,20-03-2009,MEDIUM,Ord_43
6182,21-07-2012,LOW,Ord_44
6535,12/6/2012,CRITICAL,Ord_45
6884,15-01-2009,LOW,Ord_46
6916,4/6/2010,LOW,Ord_47
6980,18-02-2010,NOT SPECIFIED,Ord_48
6982,16-11-2011,NOT SPECIFIED,Ord_49
7110,7/8/2011,LOW,Ord_50
7430,8/6/2010,MEDIUM,Ord_51
7906,17-10-2009,MEDIUM,Ord_52
8391,28-08-2011,HIGH,Ord_53
8419,29-09-2011,CRITICAL,Ord_54
8833,4/5/2012,LOW,Ord_55
8995,17-05-2011,HIGH,Ord_56
9126,17-11-2009,MEDIUM,Ord_57
9127,10/10/2011,NOT SPECIFIED,Ord_58
9509,7/10/2012,NOT SPECIFIED,Ord_59
9763,13-08-2011,MEDIUM,Ord_60
9927,16-08-2011,HIGH,Ord_61
10022,4/3/2009,LOW,Ord_62
10437,18-08-2009,CRITICAL,Ord_63
10499,16-11-2010,NOT SPECIFIED,Ord_64
10535,27-05-2011,LOW,Ord_65
10789,23-08-2010,NOT SPECIFIED,Ord_66
10791,19-08-2011,NOT SPECIFIED,Ord_67
